customer_id,customer_city,customer_state
I74lXDOfoqsp,goiania,GO
47TuLHF2s7X5,viamao,RS
dQ0dqI8Qwlj8,campinas,SP
iQCmWhNkIczb,santana de parnaiba,SP
Dp2g6JH8tO5Z,aripuana,MT
s18Fn5Tz7Jml,sao jose do rio preto,SP
9rXAwNe0G0m5,sao bento do sul,SC
o3yCAPMIPtLj,sao paulo,SP
PHGrixjXAt4t,barueri,SP
K6lNXbhXbvwg,divinopolis,MG
WaitNYVtRT2x,sao paulo,SP
WDjs7f3Yv8Va,sao paulo,SP
ViMUFfeZLwv5,rio de janeiro,RJ
ZdAOMosp5YDg,guarulhos,SP
jVsS0bHgLHcJ,palmas,TO
D1KiQOWblWjh,presidente prudente,SP
I1orDozbJsZY,brasilia,DF
bincH34GAiat,criciuma,SC
J534NgM03SXi,guarulhos,SP
11rzNuxGsM6E,anapolis,GO
AJoqBQ1l9z0V,juiz de fora,MG
M5goXy4LtmuO,resende,RJ
eRIr8uMQixin,salvador,BA
ZOgCiosZBHhF,salvador,BA
Do7ckrlRk5rx,santana do jacare,MG
bjThJDPGWpGK,curitiba,PR
x15nG700z7OG,sao paulo,SP
Xh2kQlpOqm8I,jacutinga,MG
gqBYWjnoUV7B,rio de janeiro,RJ
kmlqsg9Gk5uQ,taboao da serra,SP
smZvvNLvV8Ez,santa cruz do sul,RS
eOL1qbT6GIl5,resende,RJ
8CH2KOo6b3iE,ribeirao pires,SP
PGfqqeXWFN4T,aracati,CE
f8I8oYaA7t7w,vargem grande do sul,SP
4LCk55VNuZB7,sao paulo,SP
kuB5S1kHsjKK,porto alegre,RS
QGN0QrmHtymT,belo horizonte,MG
l7nqhW5os9MR,santos,SP
sQnzUN1MPa8t,limeira,SP
S728b0DhidXp,capelinha,MG
7HMxp8E7C2sh,sorocaba,SP
LAEzF0DIX9Ji,mesquita,RJ
MzcqTnXLe10i,jundiai,SP
i41FdkGhLoWC,correia pinto,SC
8H4jHVTcDgh3,sao paulo,SP
IYhLLNrleCkP,sao paulo,SP
JyQzFoxlhfxF,sao luis,MA
sOlw163EqSSe,sao jose,SC
AZn6IjMeDt40,formiga,MG
yQ9oNz28zxfb,sao paulo,SP
Dfs0ckTcmSGd,caieiras,SP
q0PYd7G5N9MV,recife,PE
BXCHoEYRBIqM,pocos de caldas,MG
jbTwou52qAzI,itaporanga,SP
QsxVntH2qe6q,garopaba,SC
ARtFmdPvH6OX,rio das ostras,RJ
sB1x80ZUOPiA,guarulhos,SP
ll44jqfknrOb,sao paulo,SP
t1kuXerPhQiB,juiz de fora,MG
98aTnBilI6gC,presidente prudente,SP
IH6W6gExtoPS,sao paulo,SP
tuUud0RWr7f1,santo andre,SP
kIt2LC6KHkff,jandira,SP
QfIM6BS6UQWw,curitiba,PR
prSsfCE0cuDh,capivari,SP
u1tSwHWPaOmG,sao bernardo do campo,SP
VkYTBgsP4ahW,camacari,BA
