order_id,order_purchase_timestamp,year,month,day,weekday,date_id
u6rPMRAYIGig,2017-11-18 12:29:57,2017,11,18,Saturday,0
ohY8f4FEbX19,2018-06-02 17:13:12,2018,6,2,Saturday,1
I28liQek73i2,2018-01-08 11:01:30,2018,1,8,Monday,2
bBG1T89mlY8W,2017-03-10 10:24:46,2017,3,10,Friday,3
CYxJJSQS8Lbo,2017-12-02 10:04:07,2017,12,2,Saturday,4
kUkQCFPtDvrC,2018-07-26 21:40:10,2018,7,26,Thursday,5
eV98svHRmPNG,2018-02-13 06:49:11,2018,2,13,Tuesday,6
b2tsoISX5lnP,2018-07-09 03:40:22,2018,7,9,Monday,7
O0D3th8M88nF,2018-05-28 23:23:31,2018,5,28,Monday,8
yBTGlSf8GGMV,2017-02-28 17:28:52,2017,2,28,Tuesday,9
OoHJ0WBqlxln,2018-03-15 10:00:16,2018,3,15,Thursday,10
qvrK7ROfp1w6,2017-05-13 22:52:45,2017,5,13,Saturday,11
uNUwbkr3jhfD,2018-04-04 12:42:36,2018,4,4,Wednesday,12
j4hiZpWSGa1T,2018-03-01 14:58:33,2018,3,1,Thursday,13
6J3ZtW3UMsR9,2017-03-06 13:56:19,2017,3,6,Monday,14
CKtqZeTFa6Ov,2018-08-12 12:16:53,2018,8,12,Sunday,15
e7xeH7PfGWFM,2018-03-02 17:58:09,2018,3,2,Friday,16
y7ICBanZzdHp,2018-02-25 19:13:33,2018,2,25,Sunday,17
bZFqy2PEMhhc,2018-01-20 19:51:16,2018,1,20,Saturday,18
ub5scd3uMflH,2018-02-22 16:47:12,2018,2,22,Thursday,19
yAmRuBPWp1vO,2017-10-21 18:50:25,2017,10,21,Saturday,20
srKcniC9yOFm,2017-08-28 20:36:01,2017,8,28,Monday,21
2Jbr1MhEmkIs,2017-01-28 20:01:21,2017,1,28,Saturday,22
Tb14VgvCwPuw,2018-05-04 23:18:43,2018,5,4,Friday,23
KKm2sesYGRq8,2017-04-05 10:27:07,2017,4,5,Wednesday,24
dwJNR7yxYRLb,2018-03-15 10:35:37,2018,3,15,Thursday,25
86uPyTFO0VnJ,2018-06-10 13:20:20,2018,6,10,Sunday,26
KOTqFLF3sprZ,2017-02-05 17:24:21,2017,2,5,Sunday,27
RQi6usDkH0z5,2016-10-04 13:22:56,2016,10,4,Tuesday,28
lRPOThT61ZfO,2018-03-09 20:28:22,2018,3,9,Friday,29
25pQorIsT9XG,2017-07-03 17:41:49,2017,7,3,Monday,30
CA0KeXrOx4Va,2018-06-05 18:48:27,2018,6,5,Tuesday,31
KnUNh8bnaKd9,2018-07-18 16:35:40,2018,7,18,Wednesday,32
xYh4tcmBf0pq,2017-05-30 09:39:34,2017,5,30,Tuesday,33
D5YWaLz32bm9,2018-04-30 18:55:03,2018,4,30,Monday,34
XhmzJrChXt1C,2017-03-08 14:09:17,2017,3,8,Wednesday,35
xyukk6AHT526,2018-04-02 18:48:47,2018,4,2,Monday,36
8LH9cFjaFFLw,2017-07-02 19:39:13,2017,7,2,Sunday,37
WCVW0rJ4udYk,2018-08-06 17:03:57,2018,8,6,Monday,38
pvYF1MU8i064,2017-11-19 09:42:52,2017,11,19,Sunday,39
bhMwu9M1F3pM,2018-04-13 22:40:44,2018,4,13,Friday,40
iUEMkbaTWXER,2017-12-04 17:22:25,2017,12,4,Monday,41
sZG0zVMaFAXJ,2017-08-02 12:32:26,2017,8,2,Wednesday,42
u49f51uCjN3j,2017-10-25 01:58:21,2017,10,25,Wednesday,43
Whn3HZ9xudbF,2017-07-03 18:35:01,2017,7,3,Monday,44
UuMDtqNcmyUC,2018-01-22 11:59:21,2018,1,22,Monday,45
v5gjarBxJsbo,2017-10-09 12:17:50,2017,10,9,Monday,46
3TVHEQZQTpNK,2017-02-26 01:05:37,2017,2,26,Sunday,47
hJq9LTbltF0f,2017-08-28 20:17:51,2017,8,28,Monday,48
cqbIl6jpDT2u,2018-02-19 17:46:18,2018,2,19,Monday,49
LB5ptHNQKAFz,2018-02-17 22:18:30,2018,2,17,Saturday,50
903k3PvOOCNz,2018-05-12 23:19:17,2018,5,12,Saturday,51
cv7Hxy6CHEtO,2017-12-15 05:39:06,2017,12,15,Friday,52
CscZnJreINZO,2017-05-07 17:31:09,2017,5,7,Sunday,53
mG9DF0eoAvGx,2018-04-15 13:07:36,2018,4,15,Sunday,54
hCbJt8U6Ww3N,2017-09-17 18:12:09,2017,9,17,Sunday,55
0llz1DKEU0D0,2018-05-08 19:17:48,2018,5,8,Tuesday,56
liA5pvBYs64o,2018-01-20 10:09:41,2018,1,20,Saturday,57
KNa3m4B9oN3I,2017-11-14 20:54:21,2017,11,14,Tuesday,58
KZs2qgGZoOSX,2018-01-08 11:48:46,2018,1,8,Monday,59
RtGO0hlWZEvO,2018-02-24 21:23:43,2018,2,24,Saturday,60
v4xqa1KwmNvE,2018-02-13 11:35:15,2018,2,13,Tuesday,61
LgBjaoAZT313,2018-05-09 09:25:59,2018,5,9,Wednesday,62
g2feI21w6ZER,2018-03-23 02:36:09,2018,3,23,Friday,63
UXFVXUDBBnN2,2018-01-22 19:11:45,2018,1,22,Monday,64
NiYQcWqn2dx1,2017-01-26 22:19:43,2017,1,26,Thursday,65
uJxv0BlTzZKk,2017-01-18 21:08:18,2017,1,18,Wednesday,66
Gnt5P2sMZoDE,2018-02-20 21:32:10,2018,2,20,Tuesday,67
EP3hioG5H9fK,2017-05-10 06:54:05,2017,5,10,Wednesday,68
Qu1j9oOfSK6t,2018-02-06 16:04:20,2018,2,6,Tuesday,69
eNNSfcB8zJAv,2017-07-21 21:14:56,2017,7,21,Friday,70
KBjiJXcRN9WP,2017-06-27 11:17:58,2017,6,27,Tuesday,71
7QE67FF0Om5N,2017-12-07 23:10:56,2017,12,7,Thursday,72
bVYJzm2XCyxo,2017-07-25 14:37:38,2017,7,25,Tuesday,73
blIKUJKqhcAw,2018-05-07 14:06:43,2018,5,7,Monday,74
glRonpQa8jMJ,2017-04-13 20:46:58,2017,4,13,Thursday,75
MHEaSt8SPeoG,2017-05-21 14:42:36,2017,5,21,Sunday,76
cB2f9bMTD38b,2017-08-09 23:01:43,2017,8,9,Wednesday,77
GayOlUb6Vmw5,2017-12-08 13:29:11,2017,12,8,Friday,78
DFJtb4hzzmHX,2018-07-10 11:36:10,2018,7,10,Tuesday,79
6whGhQyugS0N,2017-07-31 16:42:29,2017,7,31,Monday,80
9NeeIZEF4rYg,2017-11-07 00:32:03,2017,11,7,Tuesday,81
zyqeRBdn2QIz,2017-12-05 19:03:13,2017,12,5,Tuesday,82
ZPtEC8wwF6WC,2018-06-21 16:34:24,2018,6,21,Thursday,83
n5anh2ES0Qrx,2018-04-19 13:46:42,2018,4,19,Thursday,84
ZAZc30nO7mBG,2018-02-23 10:00:29,2018,2,23,Friday,85
2h0BGlUwGRS1,2017-04-20 12:45:34,2017,4,20,Thursday,86
0bLeA89iFL8i,2017-11-27 12:49:50,2017,11,27,Monday,87
1jjbu6TXyRch,2018-05-29 19:16:01,2018,5,29,Tuesday,88
amNpLmLRtqds,2017-10-13 09:04:42,2017,10,13,Friday,89
J3NBaP7MoqMg,2017-11-28 11:43:42,2017,11,28,Tuesday,90
