order_id,customer_id,date_id
u6rPMRAYIGig,I74lXDOfoqsp,0
ohY8f4FEbX19,47TuLHF2s7X5,1
I28liQek73i2,dQ0dqI8Qwlj8,2
bBG1T89mlY8W,iQCmWhNkIczb,3
CYxJJSQS8Lbo,Dp2g6JH8tO5Z,4
kUkQCFPtDvrC,s18Fn5Tz7Jml,5
eV98svHRmPNG,9rXAwNe0G0m5,6
b2tsoISX5lnP,o3yCAPMIPtLj,7
O0D3th8M88nF,PHGrixjXAt4t,8
yBTGlSf8GGMV,K6lNXbhXbvwg,9
OoHJ0WBqlxln,WaitNYVtRT2x,10
qvrK7ROfp1w6,WDjs7f3Yv8Va,11
uNUwbkr3jhfD,ViMUFfeZLwv5,12
j4hiZpWSGa1T,ZdAOMosp5YDg,13
6J3ZtW3UMsR9,jVsS0bHgLHcJ,14
CKtqZeTFa6Ov,D1KiQOWblWjh,15
e7xeH7PfGWFM,I1orDozbJsZY,16
y7ICBanZzdHp,bincH34GAiat,17
bZFqy2PEMhhc,J534NgM03SXi,18
ub5scd3uMflH,11rzNuxGsM6E,19
yAmRuBPWp1vO,AJoqBQ1l9z0V,20
srKcniC9yOFm,M5goXy4LtmuO,21
2Jbr1MhEmkIs,eRIr8uMQixin,22
Tb14VgvCwPuw,ZOgCiosZBHhF,23
KKm2sesYGRq8,Do7ckrlRk5rx,24
dwJNR7yxYRLb,bjThJDPGWpGK,25
86uPyTFO0VnJ,x15nG700z7OG,26
KOTqFLF3sprZ,Xh2kQlpOqm8I,27
RQi6usDkH0z5,gqBYWjnoUV7B,28
lRPOThT61ZfO,kmlqsg9Gk5uQ,29
25pQorIsT9XG,smZvvNLvV8Ez,30
CA0KeXrOx4Va,eOL1qbT6GIl5,31
KnUNh8bnaKd9,8CH2KOo6b3iE,32
xYh4tcmBf0pq,PGfqqeXWFN4T,33
D5YWaLz32bm9,f8I8oYaA7t7w,34
XhmzJrChXt1C,4LCk55VNuZB7,35
xyukk6AHT526,kuB5S1kHsjKK,36
8LH9cFjaFFLw,QGN0QrmHtymT,37
WCVW0rJ4udYk,l7nqhW5os9MR,38
pvYF1MU8i064,sQnzUN1MPa8t,39
bhMwu9M1F3pM,S728b0DhidXp,40
iUEMkbaTWXER,7HMxp8E7C2sh,41
sZG0zVMaFAXJ,LAEzF0DIX9Ji,42
u49f51uCjN3j,MzcqTnXLe10i,43
Whn3HZ9xudbF,i41FdkGhLoWC,44
UuMDtqNcmyUC,8H4jHVTcDgh3,45
v5gjarBxJsbo,IYhLLNrleCkP,46
3TVHEQZQTpNK,JyQzFoxlhfxF,47
hJq9LTbltF0f,sOlw163EqSSe,48
cqbIl6jpDT2u,AZn6IjMeDt40,49
LB5ptHNQKAFz,yQ9oNz28zxfb,50
903k3PvOOCNz,Dfs0ckTcmSGd,51
cv7Hxy6CHEtO,q0PYd7G5N9MV,52
CscZnJreINZO,BXCHoEYRBIqM,53
mG9DF0eoAvGx,jbTwou52qAzI,54
hCbJt8U6Ww3N,QsxVntH2qe6q,55
0llz1DKEU0D0,ARtFmdPvH6OX,56
liA5pvBYs64o,sB1x80ZUOPiA,57
KNa3m4B9oN3I,ll44jqfknrOb,58
KZs2qgGZoOSX,t1kuXerPhQiB,59
RtGO0hlWZEvO,98aTnBilI6gC,60
v4xqa1KwmNvE,IH6W6gExtoPS,61
LgBjaoAZT313,tuUud0RWr7f1,62
g2feI21w6ZER,kIt2LC6KHkff,63
UXFVXUDBBnN2,QfIM6BS6UQWw,64
NiYQcWqn2dx1,prSsfCE0cuDh,65
uJxv0BlTzZKk,u1tSwHWPaOmG,66
Gnt5P2sMZoDE,VkYTBgsP4ahW,67
EP3hioG5H9fK,9hLk4KZPIrdp,68
Qu1j9oOfSK6t,ZNkeoW0v2Yz5,69
eNNSfcB8zJAv,bVEGh3nqaNyK,70
KBjiJXcRN9WP,4nWN1nYcBUUM,71
7QE67FF0Om5N,CJBe5YcVa8BV,72
bVYJzm2XCyxo,njO6UF6KC5oM,73
blIKUJKqhcAw,vGbrlOwsJGNT,74
glRonpQa8jMJ,kRrMY3t755nL,75
MHEaSt8SPeoG,FB4qoCQtY78b,76
cB2f9bMTD38b,XUVgmhKGTlCU,77
GayOlUb6Vmw5,FRenfQXwKTr2,78
DFJtb4hzzmHX,qXd5XyJFHOOH,79
6whGhQyugS0N,KBYhryQMswGj,80
9NeeIZEF4rYg,InzL2EFfs1Z4,81
zyqeRBdn2QIz,TLcN4gqrngCZ,82
ZPtEC8wwF6WC,ZXGtgz22ZuTc,83
n5anh2ES0Qrx,10CMmu85B1xh,84
ZAZc30nO7mBG,950pNgLYvrUB,85
2h0BGlUwGRS1,GyQLgLcEsyyk,86
0bLeA89iFL8i,R0hdk8rOTHCx,87
1jjbu6TXyRch,f2XW6ZIEWnk2,88
amNpLmLRtqds,P101VTJljiqW,89
J3NBaP7MoqMg,oEEHeCpHvpTJ,90
UGOUFp6lOvfy,sQ58Z70GxzD1,91
W1NJYnYkaukv,2wl1V2O532Ne,92
mekmxzX7xg66,lkeyEiK1e5yg,93
zgIMZEReS5B1,bCn2jXaQK8n2,94
sqqcJi5UVxtn,PCtRlALJAqIy,95
726qzHfAqEZO,GIo0gCA7DZwJ,96
SPsLXC6EZB6w,OZVsT3BLq9H2,97
QLqDouIaUQyr,j796RyTU4D9J,98
pKPwllWcu4W3,sNvreFY4xGGx,99
8WTKsujGSPr0,Of9TY1egrbYl,100
NTvOc3tRPuW5,rVpZ5iyUcDs1,101
Io6QaiAgVYoZ,GCIHYuqgJO4m,102
Xknxc0MlpwU6,UaYsJO1dP5iW,103
TmyZSJp1HpV7,6qgZyqFsEr8W,104
GNz6cxwDUyoM,mPVFphfpomAt,105
t0EtYo45Wcw7,wtZTUGiZB7cc,106
uCkWTkJzyQRA,qK7oy4s5YyXx,107
kHpIb3Vhkr2B,kLnTz5KGD1RN,108
JHwaDSRd7Yqk,BDfHue7TLPbA,109
PqlLQqphGWMG,pr9d47fsvAOA,110
J8Bc43diiiwa,G1Bo4rtOPOUV,111
T4K1lnPN7lH9,ntLORCsAAxkl,112
qFGvBA8siR9C,Wzt8Wnmh39R5,113
DTG8rFMgpHXy,IbNmDM5pVSuW,114
EzLqwURTMESq,2BDSGrKxGvBM,115
VfPfevghWKRz,zzXJDr2XBrBa,116
RrMH1HzjPDUy,wL6AVErEnDEN,117
dgXkaqn9QIyl,MH8RBjpM8eLq,118
GkihidwfzkNV,DVWp3lrKeGtO,119
vl4sZM3Me2dI,nwe6tWyEFgKX,120
uKdtgTIV8ML0,ZnWtfiYU2gmJ,121
Tao6yqzZqR8i,184l4HeebUUs,122
CRAW5FHTgef2,rrVwfYACf06j,123
hToNiABH0dXp,5I8T5HbvLcxV,124
mUZI3vHznWIA,gc5eu2jRP8Ue,125
xgFgAUrPUHEk,YRGRe4QsNriT,126
JgAkkK19yYhw,mgzE1mWPrm0b,127
3CD8klhI6sv6,YMfJQ9PazlYb,128
yA6ye44VAqXT,ogasrBdboH6w,129
pshOBIa9uNaK,W2VQOt7KVy6H,130
SpFKAoPp0ilG,IirLNRdsUxR3,131
hwV9K6iZVgnh,t26lZBwvRhG4,132
DBPnEuQDFDVb,BTGQBnuBkWTP,133
CM47ksrL2R8A,JqvcHU6MeNPY,134
6otDC7qi8cZh,vRbt7lQwnXRq,135
wq3LDwK546wG,ExANiT3OIbOY,136
w4jk8j2fTnhw,VMGiDteguIiv,137
tZoVpxv5FVIH,LlA9gb5gFVGc,138
tFQGjmZndsM5,CpEHH3xqcozm,139
nblJwrll1AS0,oO7bOdpWgnYb,140
3vx9j3SvRUKg,D3m8aT6XucbW,141
OPuvw5JcjfOh,aijopZ8MSdrR,142
kVpTE6tUo9w7,L4YypNLTXp74,143
NecsYKNR6nba,tdPbY5RvYiew,144
fnSFBmKlfG9i,YActXwv3Y5Gi,145
u2oKzCyv9sav,AGCtVipzoiOF,146
OtV6waAZRqcN,ILQa3Kn6bDI6,147
vhdr4kEZVJXi,g96IscN82qaH,148
kyeIOoUKvoIM,rkwgauHpsbI2,149
VZvjDMifWUUk,jyMYviDKWitg,150
GewZicdnVU4o,Ohw8sDco6bPu,151
paJO30kb5azy,YDUVSDBuTWfM,152
Co6YY9CSER9B,KpXnUCYEfrXH,153
1ADWBenqZlyI,vyYSsscIhCiO,154
YKY495iYCoqG,lSomgOsTCP4U,155
MV5sovfkXA3U,fdOB1jOqBSQS,156
jQBSgqRWOpvl,9AU7CfR0udf7,157
CtWqYNGFXvab,f3tYfLzojNVI,158
obrJjCEHkABU,HJYGjBBwZZtF,159
BmKm8T53Heik,5l068RJToruk,160
WMaeamcmMFS7,m3rvPRXOZVMK,161
80zasKxvt11B,bVaYS9waa2sh,162
HW9Ogje6AlUA,ggRUhTY47BvS,163
O3kEwpEBakLG,tNTik5aFiRfV,164
TKwhZWStGsmY,swwLA3wfsrzU,165
I54x5B7ZScB4,bP5kiwkaCqIi,166
KOrn1FCfjiwG,E0YjDtmJ2tu9,167
RI0Rc1aPQdUs,x4Koq5pqV2iA,168
q4CIb4iWNj6w,VQmOdb97L3NX,169
ATrYoxeRKpjR,rWQ5DmfRpEHX,170
k1rQ3PIw3yYp,7tHlpp9PIsDJ,171
lD9HnSAxViqE,ZjkS1jjTW4ei,172
PX1ynyV2HPjl,3ygMHzAu6iPq,173
Gwq3kXZ8MW3c,6qV1JAlxvACX,174
W3nEEHGY8aZe,xt2w5DiNag1t,175
mpXwWjfPlBSr,V2raysQanXud,176
xneeAgYsRUlF,BsmOTC1b93g1,177
BRj5e8wXFtYd,0ppLSIt4btFY,178
fuBWf4V2Fw1v,31A7FiOQoCnn,179
mpPCmbAGPedF,Ivtp0KMG7fRV,180
yb8LxW1FVkLV,RaooSyuOMPGV,181
7s3w2S5NqgHr,PYIfk4aezkrI,182
nWpya4oQZL6n,zdKG9apl6jIZ,183
tytEgIj2Th3J,Xv2LLvsTB2Wn,184
Wa1rNI8dP7zs,XaUlNzHILmZh,185
fIrfCQsEFnE9,5mXDJ6NmcXmv,186
at7rWo8KPYVJ,g6qtNzCdXU0C,187
PmfjmIs699a5,soLxGcdOU73S,188
Na5LA4dY4q9A,OPPFYEAWif9X,189
BunZbvls0n1k,sM9kRw53gwad,190
AhUvxUGYsopt,D4iBJgP2KjHq,191
gI9LiRm1Ryjt,o0gnecAFdlJB,192
E93Sn1q2YqAV,nPfVkqhhWTwb,193
FrByV3btkMWv,uzQYBbMbMPMF,194
8J2PSZX0Qado,Jxy8uod7ozFs,195
47UxbbQPIt5G,oAZ7OCWKsoDv,196
ojnrE1j1yZNk,0ElCR6lB1a8Z,197
bCo6YkJgUmME,jye5qp1Wu0FI,198
DKYTTXy6VhNE,RUpwIYbtZ0l3,199
nr3yNXzg551L,4MBF3DUDYYV5,200
zErVTquqlznU,7LX2ffZwwzuW,201
vJOB9Yahwavl,ufeA6XZUvEln,202
tJN8rPKqcCsC,vOL6Nxc99z2n,203
jap0obJnnAmy,YNBaU2euoQ3y,204
B1SS9cXxCf43,f3hY5LK6K2rT,205
KXDoKZReRLYT,mN9bdCM7GgFE,206
J20qFvYqnjav,gN5WSy7WygiK,207
ODQVs33Hh84k,8Cp259DS3W4b,208
xX2UiyxIPZSv,vBXAF0ljQOn7,209
xiJphil15jpi,nmYbYIE684Jz,210
E8OuxMoG0Q75,gjw2ezpSJvR1,211
FABrt78aO16I,ALDvocEtJSSN,212
6b03hCPGdqkl,rl6DXFwpoeWA,213
Jcy2W2E0Agmu,aR68UXjxXjsQ,214
aOYDktekeGQa,FE792HtGAt71,215
D7VNrgEGCxnU,flrMa2cVRj8c,216
rSLWWI0YOkKf,vVnbcPACiUlO,217
KYO2H5mu4Wc2,6Oyl3eGtC0gr,218
HkhWA2uQbJjR,TrLRMUdWaQHx,219
UEMavvdMBBA8,UXs8qnVOI84S,220
yCkVMOcqHA1A,YFoKoWL2X75t,221
6wadKo4Uu9GE,dNFSFbNcvQEX,222
